2 2.2721007700824136233e-02	
4 8.5844037049335741862e-03	
8 2.6686068591006972817e-03	
16 7.4787788730890092381e-04	
32 1.9900858509419583342e-04	
64 5.1590182521377148106e-05	
128 1.3347645128503060619e-05	
256 2.8664394922106595232e-06	
512 2.9016081746213728820e-06	
1024 3.6733398587618371067e-05	
2048 2.5617033859970383958e-04	
4096 1.9196867116347271498e-03	
8192 2.1900364396137961265e-04	
16384 8.7956953853496333551e-04	
32768 5.4981238148082645090e-02	
65536 6.8679963644393715594e-02	
131072 1.2424483145233439219e-01	
262144 2.8653230068630092253e-01	
