2 2.2721054155085795845e-02	
4 8.5843936415154753483e-03	
8 2.6685799889736849799e-03	
16 7.4793301098124986837e-04	
32 1.9884560455274424839e-04	
64 5.1269986248103638360e-05	
128 1.3017151999639153814e-05	
256 3.2797351672830821201e-06	
512 8.2313340449280403277e-07	
1024 2.0618549484430204188e-07	
2048 5.1596685146648724185e-08	
4096 1.2905476187707876079e-08	
8192 3.2270828786984395720e-09	
16384 8.0691542336808197433e-10	
32768 2.0175161541402530929e-10	
65536 5.0154658204348834261e-11	
131072 9.8639500238602517701e-02	
262144 2.6920183895529231632e-01	
