2 2.2721054155085927440e-02	
4 8.5843936415154243366e-03	
8 2.6685799889735668832e-03	
16 7.4793301098135422282e-04	
32 1.9884560455256492136e-04	
64 5.1269986249197517037e-05	
128 1.3017151999148958907e-05	
256 3.2797351694473122867e-06	
512 8.2313339941277475359e-07	
1024 2.0618549704834953328e-07	
2048 5.1596699071545116394e-08	
4096 1.2905474240101303535e-08	
8192 3.2271562775050034733e-09	
16384 8.0688756801876142244e-10	
32768 2.0173418323202532698e-10	
65536 5.0435949633300530826e-11	
131072 9.8639500238382783070e-02	
262144 2.6920183895868780502e-01	
